Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Log Work,Log Work,Log Work,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify that 'Real Estate' link shows a search bar for featured properties.,RE-23,10081,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,03/Sep/21 9:22 AM,07/Sep/21 12:28 PM,09/Sep/21 5:29 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-22,RE-4,,,,,,,,,,,,{},,,,,,,0|i00087:fhr,,Real Estate Sprint,,,,,,,,In Progress
Verify that 'Real Estate' link shows featured properties.,RE-22,10080,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,03/Sep/21 7:11 AM,08/Sep/21 4:18 AM,09/Sep/21 5:29 AM,07/Sep/21 9:14 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,RE-4,,,,,,,,,,,,{},,,,,,,0|i000cv:,,Real Estate Sprint,,,,,,,,Done
Verify 'Password' field with null input.,RE-21,10079,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,03/Sep/21 7:05 AM,08/Sep/21 4:15 AM,09/Sep/21 5:29 AM,07/Sep/21 6:38 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-20,RE-3,,,,,,,,,,,,{},,,,,,,0|i000cn:,,Real Estate Sprint,,,,,,,,Done
Verify 'Username' field with null input.,RE-20,10078,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,03/Sep/21 7:04 AM,08/Sep/21 4:15 AM,09/Sep/21 5:29 AM,07/Sep/21 5:14 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-14,RE-3,,,,,,,,,,,,{},,,,,,,0|i000cf:,,Real Estate Sprint,,,,,,,,Done
Verify 'Email' field with special characters only.,RE-19,10077,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,03/Sep/21 4:36 AM,07/Sep/21 12:28 PM,09/Sep/21 5:29 AM,07/Sep/21 5:19 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-7,RE-2,,,,,,,,,,,,{},,,,,,,0|i00087:fhi,,Real Estate Sprint,,,,,,,,Done
Verify 'Email' field with valid input.,RE-18,10076,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,03/Sep/21 4:29 AM,07/Sep/21 12:27 PM,09/Sep/21 5:29 AM,07/Sep/21 9:23 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-10,RE-2,,,,,,,,,,,,{},,,,,,,0|i00087:fh,,Real Estate Sprint,,,,,,,,Done
Verify 'Password' field with alphabets only.,RE-17,10075,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 10:50 AM,08/Sep/21 4:15 AM,09/Sep/21 5:29 AM,07/Sep/21 5:15 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-15,RE-3,,,,,,,,,,,,{},,,,,,,0|i000br:,,Real Estate Sprint,,,,,,,,Done
Verify 'Password' field with valid input.,RE-16,10074,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 10:49 AM,08/Sep/21 4:14 AM,09/Sep/21 5:29 AM,07/Sep/21 6:25 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-14,RE-3,,,,,,,,,,,,{},,,,,,,0|i000bj:,,Real Estate Sprint,,,,,,,,Done
Verify 'Username' field with special characters.,RE-15,10073,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 10:47 AM,08/Sep/21 4:14 AM,09/Sep/21 5:29 AM,07/Sep/21 6:35 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-14,RE-3,,,,,,,,,,,,{},,,,,,,0|i000bb:,,Real Estate Sprint,,,,,,,,Done
Verify 'Username' field with valid input.,RE-14,10072,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 10:46 AM,08/Sep/21 4:14 AM,09/Sep/21 5:29 AM,07/Sep/21 9:23 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-13,RE-3,,,,,,,,,,,,{},,,,,,,0|i000b3:,,Real Estate Sprint,,,,,,,,Done
Verify clicking 'Login' button with valid input in all fields.,RE-13,10071,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 10:30 AM,08/Sep/21 4:13 AM,09/Sep/21 5:29 AM,07/Sep/21 5:04 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,RE-3,,,,,,,,,,,,{},,,,,,,0|i000av:,,Real Estate Sprint,,,,,,,,Done
Verify 'Last Name' field with valid input.,RE-12,10070,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 10:21 AM,07/Sep/21 12:27 PM,09/Sep/21 5:29 AM,07/Sep/21 6:48 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-11,RE-2,,,,,,,,,,,,{},,,,,,,0|i00087:fg,,Real Estate Sprint,,,,,,,,Done
Verify 'First Name' field with valid input.,RE-11,10069,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 10:20 AM,07/Sep/21 12:27 PM,09/Sep/21 5:29 AM,07/Sep/21 6:24 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-7,RE-2,,,,,,,,,,,,{},,,,,,,0|i00087:ff,,Real Estate Sprint,,,,,,,,Done
Verify 'Email' field with null input.,RE-10,10068,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 9:53 AM,07/Sep/21 12:27 PM,09/Sep/21 5:29 AM,07/Sep/21 8:48 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-7,RE-2,,,,,,,,,,,,{},,,,,,,0|i00087:fc,,Real Estate Sprint,,,,,,,,Done
Verify 'Last Name' field with special characters.,RE-9,10067,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 9:41 AM,07/Sep/21 12:27 PM,09/Sep/21 5:29 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-8,RE-2,,,,,,,,,,,,{},,,,,,,0|i00087:f6,,Real Estate Sprint,,,,,,,,In Progress
Verify 'First Name' field with special characters.,RE-8,10066,Test,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 9:38 AM,07/Sep/21 12:27 PM,09/Sep/21 5:29 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,RE-6,RE-2,,,,,,,,,,,,{},,,,,,,0|i00087:f4,,Real Estate Sprint,,,,,,,,In Progress
Verify 'Email' field with alphabets only.,RE-7,10065,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 9:29 AM,07/Sep/21 12:27 PM,09/Sep/21 5:29 AM,07/Sep/21 5:09 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,RE-2,,,,,,,,,,,,{},,,,,,,0|i00087:f3i,,Real Estate Sprint,,,,,,,,Done
Verify clicking 'Register' button with valid input in all fields.,RE-6,10064,Test,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 9:16 AM,07/Sep/21 12:27 PM,09/Sep/21 5:29 AM,07/Sep/21 5:20 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,RE-2,,,,,,,,,,,,{},,,,,,,0|i00087:f3,,Real Estate Sprint,,,,,,,,Done
"As a user, I want to click on the 'Contact Us' link provided at the bottom of the webpage, so that I can contact the team.",RE-5,10063,Story,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 8:46 AM,07/Sep/21 12:27 PM,09/Sep/21 5:29 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i00087:f2,,Real Estate Sprint,,,,,,,,In Progress
"As a user, I want to access the 'Real Estate' link on top of the page, so that I can get more information.",RE-4,10062,Story,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 8:43 AM,07/Sep/21 5:11 AM,09/Sep/21 5:29 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i00087:f,,Real Estate Sprint,,,,,,,,In Progress
"As a user, I want to enter my details and log in to the website, so that I can access my profile.",RE-3,10061,Story,Done,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,Done,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 8:42 AM,08/Sep/21 4:18 AM,09/Sep/21 5:29 AM,08/Sep/21 4:18 AM,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i00087:d,,Real Estate Sprint,,,,,,,,Done
"As a user, I want to register on the website, so that my profile will be created.",RE-2,10060,Story,Blocked By,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 8:41 AM,07/Sep/21 12:26 PM,09/Sep/21 5:29 AM,,,0,,,Sanchi Gupta,612ef7d4b7859000710af384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i00087:9,,Real Estate Sprint,,,,,,,,In Progress
Login and Register Page,RE-1,10059,Epic,In Progress,RE,Real Estate,software,Sanchi Gupta,612ef7d4b7859000710af384,,Medium,,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,Sanchi Gupta,612ef7d4b7859000710af384,02/Sep/21 6:34 AM,08/Sep/21 7:00 AM,09/Sep/21 5:26 AM,,,0,This is an epic for Login and Register Page.,,Sanchi Gupta,612ef7d4b7859000710af384,;07/Sep/21 12:12 PM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;172800,;08/Sep/21 3:39 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;172800,;08/Sep/21 3:41 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;172800,;08/Sep/21 3:42 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;172800,;08/Sep/21 3:43 AM;ug:040265ae-2042-47b9-801c-1ba4f87751fd;0,,0,691200,,,0,691200,,,,,,,,,,,,,,,,,,,,{},ghx-label-7,,Login and Register Page,To Do,,,0|i00087:,,Real Estate Sprint,,,,,,,,In Progress
